,년도,시도,시군구,위도,경도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,include,노인보호구역,include2,전통시장
2470,2018,대전광역시,동구,36.3484131,127.4361257,대전광역시 동구 성남동 대덕약국 ,4,4,0,3,1,0,1,대전광역시 동구 동서대로1678번길 17(성남동),0,0
2471,2018,대전광역시,동구,36.34871629999999,127.44322890000001,대전광역시 동구 가양동 경동사대전지점 ,3,6,1,2,3,0,1,대전광역시 동구 가양로132번길 26(가양동),1,대전 동구 매봉로 18
2472,2018,대전광역시,동구,36.3246943,127.46615120000001,대전광역시 동구 용운동 용운국제수영장입구 ,3,3,0,3,0,0,0,0,0,0
2473,2018,대전광역시,동구,36.30458529999999,127.45351409999998,대전광역시 동구 가오동 가오동네거리 ,3,3,0,1,1,1,0,0,0,0
2474,2018,대전광역시,동구,36.3387528,127.4322101,대전광역시 동구 삼성동 솔브릿지국제대학입구 ,2,2,1,1,0,0,0,0,0,0
2475,2018,대전광역시,중구,36.3276307,127.40632959999999,대전광역시 중구 용두동 서대전네거리역 ,3,4,0,3,1,0,1,대전광역시 중구 용두로38번길 18,0,0
2477,2018,대전광역시,서구,36.340271,127.3881638,대전광역시 서구 괴정동 다정빌딩 ,3,3,0,3,0,0,0,0,0,0
2478,2018,대전광역시,서구,36.3386354,127.37546509999999,대전광역시 서구 괴정동 현대오일뱅크 금강주유소 ,2,2,1,0,1,0,0,0,0,0
2479,2018,대전광역시,유성구,36.35668,127.33055700000001,대전광역시 유성구 구암동 구암역3번출구 ,4,5,0,4,1,0,1,대전광역시 유성구 유성대로 694번길 23-1,0,0
2480,2018,대전광역시,대덕구,36.3524405,127.4433193,대전광역시 대덕구 송촌동 SK엔크린 맘모스주유소 ,4,4,2,1,1,0,0,0,0,0
2481,2018,대전광역시,대덕구,36.4246872,127.42326499999999,대전광역시 대덕구 평촌동 대현 ,3,3,1,2,0,0,0,0,0,0
2483,2019,대전광역시,동구,36.315763000000004,127.46097759999998,대전광역시 동구 판암동 옥천로178 ,4,4,0,0,3,1,0,0,0,0
2485,2019,대전광역시,동구,36.343191299999994,127.4235159,대전광역시 동구 삼성동 대전로968 ,3,3,0,2,1,0,0,0,0,0
2486,2019,대전광역시,동구,36.3489412,127.43508100000001,대전광역시 동구 용전동 동서대로1669 ,3,3,0,1,2,0,1,대전광역시 동구 동서대로1678번길 17(성남동),0,0
2487,2019,대전광역시,중구,36.3257491,127.43254329999999,대전광역시 중구 대흥동 교량 ,3,3,1,2,0,0,0,0,1,대전 동구 중앙로 200번길 70
2488,2019,대전광역시,중구,36.3200256,127.4209476,대전광역시 중구 대흥동 테미로462 ,3,3,0,2,1,0,1,대전광역시 중구 테미로 26,0,0
2489,2019,대전광역시,중구,36.33473842,127.41327340000002,대전광역시 중구 목동 대흥사거리 ,2,2,1,0,1,0,1,대전광역시 중구 목동로8번길 54-1,1,대전 중구 동서대로1421번길12
2490,2019,대전광역시,유성구,36.355077200000004,127.33674609999998,대전광역시 유성구 봉명동 유성삼거리 ,5,7,2,2,3,0,0,0,0,0
2491,2019,대전광역시,유성구,36.3571267,127.33627779999999,대전광역시 유성구 장대동 장대로25 ,5,5,1,4,0,0,0,0,1,대전 유성구 유성대로 730번길 24
2492,2019,대전광역시,대덕구,36.3555542,127.42761940000001,대전광역시 대덕구 중리동 홍도로106 ,6,6,0,2,3,1,0,0,0,0
2493,2019,대전광역시,대덕구,36.355973600000006,127.4055239,대전광역시 대덕구 오정동 대전천북로350 ,4,4,0,1,3,0,0,0,1,대전 대덕구 오정로 106
2494,2019,대전광역시,대덕구,36.3549071,127.4549841,대전광역시 대덕구 비래동 우암로408 ,3,3,0,3,0,0,0,0,0,0
2496,2020,대전광역시,동구,36.3445247,127.43748670000001,대전광역시 동구 성남동 성남동166106 ,4,4,0,2,2,0,1,대전광역시 동구 합내로 7-6(가양동),0,0
2497,2020,대전광역시,동구,36.325996,127.43541499999999,대전광역시 동구 인동 원동네거리 ,3,3,0,1,2,0,0,0,1,대전 동구 중앙로 200번길 70
2498,2020,대전광역시,동구,36.3220543,127.4435445,대전광역시 동구 신흥동 신흥동208 ,2,2,1,1,0,0,0,0,0,0
2499,2020,대전광역시,중구,36.3176106,127.4248216,대전광역시 중구 대사동 대사동248225 ,4,4,2,2,0,0,0,0,0,0
2500,2020,대전광역시,중구,36.3215564,127.40868200000001,대전광역시 중구 오류동 엔제리너스서대전 ,4,4,0,3,1,0,0,0,1,대전 중구 계룡로874번길 12
2501,2020,대전광역시,중구,36.3045564,127.38621499999999,대전광역시 중구 산성동 산성네거리 ,4,4,0,2,2,0,0,0,1,대전 중구 대둔산로408번길28
2502,2020,대전광역시,중구,36.3258317,127.39485239999999,대전광역시 중구 태평동 태평오거리 ,3,3,1,2,0,0,0,0,1,대전 중구 수침로55번길 56
2503,2020,대전광역시,중구,36.314833899999996,127.43940400000001,대전광역시 중구 문창동 문창교 ,2,2,1,1,0,0,1,대전광역시 중구 보문로19번길 42,1,대전 중구 대전천서로 279
2504,2020,대전광역시,서구,36.307860600000005,127.3370807,대전광역시 서구 관저동 원앙네거리 ,3,3,2,0,1,0,0,0,0,0
2505,2020,대전광역시,서구,36.306833600000004,127.37310500000001,대전광역시 서구 복수동 복수동장로교회 ,3,3,0,3,0,0,1,대전광역시 서구 복수동 277-9,0,0
2506,2020,대전광역시,서구,36.348746000000006,127.39899,대전광역시 서구 탄방동 둔산화랑 ,3,3,0,3,0,0,0,0,1,대전 서구 문정로170번걸 74
2507,2020,대전광역시,유성구,36.353105,127.338968,대전광역시 유성구 봉명동 온천1동주민센터 ,3,3,0,0,3,0,1,대전광역시 유성구 유성대로 680번길 126,0,0
