년도,시도,위도,경도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
2010,서울특별시 은평구2,37.610413,126.9335692,서울특별시 은평구 불광동 국립보건원 ,3 ,3 ,0 ,2 ,1 ,0 
2010,서울특별시 은평구3,37.614139,126.9208072,서울특별시 은평구 대조동 대조동사무소 ,3 ,3 ,0 ,3 ,0 ,0 
2010,서울특별시 은평구4,37.6183087,126.9390451,서울특별시 은평구 불광동 불광역 ,3 ,3 ,1 ,1 ,1 ,0 
2010,서울특별시 은평구5,37.618812,126.920842,서울특별시 은평구 갈현동 연신내역 ,4 ,4 ,0 ,2 ,1 ,1 
2010,서울특별시 은평구6,37.6042789,126.9050867,서울특별시 은평구 역촌동 시립삼거리 ,4 ,4 ,0 ,3 ,1 ,0 
2010,서울특별시 은평구7,37.6112228,126.9218626,서울특별시 은평구 대조동 모아가정의학과의원 ,4 ,4 ,0 ,3 ,1 ,0 
2010,서울특별시 은평구8,37.580855,126.895681,서울특별시 은평구 수색동 수색역 ,5 ,5 ,0 ,2 ,2 ,1 
2010,서울특별시 은평구9,37.5926138,126.9123363,서울특별시 은평구 응암동 신사초등학교 ,5 ,5 ,0 ,3 ,2 ,0 
2010,서울특별시 은평구10,37.6011964,126.9292233,서울특별시 은평구 응암동 은평주유소앞 ,5 ,7 ,1 ,3 ,3 ,0 
2010,서울특별시 서대문구1,37.5600649,126.9566688,서울특별시 서대문구 북아현동 오렌지헤어 ,3 ,3 ,1 ,2 ,0 ,0 
2010,서울특별시 서대문구2,37.5988376,126.9471453,서울특별시 서대문구 홍은동 명지대입구1 ,4 ,4 ,1 ,2 ,1 ,0 
2010,서울특별시 서대문구3,37.5605196,126.9394349,서울특별시 서대문구 창천동 연세공학연구센타 ,4 ,7 ,2 ,5 ,0 ,0 
2010,서울특별시 서대문구4,37.5915033,126.9429722,서울특별시 서대문구 홍제동 유진상가 ,5 ,5 ,0 ,5 ,0 ,0 
2010,서울특별시 서대문구5,37.565784,126.938572,서울특별시 서대문구 신촌동 연세대 ,5 ,10 ,3 ,5 ,2 ,0 
2010,서울특별시 마포구1,37.5530352,126.9060603,서울특별시 마포구 망원동 샘터교회 ,3 ,3 ,0 ,2 ,0 ,1 
2010,서울특별시 마포구2,37.5463089,126.9101219,서울특별시 마포구 합정동 합정역 ,3 ,3 ,0 ,3 ,0 ,0 
2010,서울특별시 마포구3,37.5567332,126.9460053,서울특별시 마포구 대흥동 이대역 ,3 ,3 ,1 ,1 ,1 ,0 
2010,서울특별시 마포구4,37.5558086,126.9339917,서울특별시 마포구 동교동 가나안 ,3 ,3 ,1 ,2 ,0 ,0 
2010,서울특별시 양천구1,37.491626,126.8568265,서울특별시 양천구 신월동 샛별유치원1 ,3 ,3 ,0 ,2 ,1 ,0 
2010,서울특별시 양천구2,37.5294268,126.8382361,서울특별시 양천구 신월동 신길운수 ,3 ,3 ,0 ,3 ,0 ,0 
2010,서울특별시 양천구3,37.53012,126.837901,서울특별시 양천구 신월동 신월동외환은행 ,3 ,3 ,1 ,1 ,1 ,0 
2010,서울특별시 양천구4,37.5173076,126.84114,서울특별시 양천구 신월동 신월동농협 ,4 ,4 ,0 ,4 ,0 ,0 
2010,서울특별시 강서구1,37.5774194,126.8124298,서울특별시 강서구 방화동 신한은행앞3 ,3 ,4 ,0 ,1 ,3 ,0 
2010,서울특별시 강서구2,37.5718645,126.8107913,서울특별시 강서구 방화동 서광아파트앞1 ,3 ,3 ,0 ,2 ,1 ,0 
